"wd24cd","mean","sd","q2.5","q50","q97.5","N","has_microdata"
"E05009317",5.22205515483958,0.386452781383893,4.45780545612254,5.22247836876237,5.97349804420632,18085.25,TRUE
"E05009318",5.64870529631321,0.434408212425328,4.80330144631853,5.64678278215104,6.49440687103322,18990.75,TRUE
"E05009319",5.1885658936529,0.43040936592954,4.32755778206723,5.18108117325935,6.04350175731227,17107.5,TRUE
"E05009320",4.99359565153922,0.485474705755362,4.04718983727481,4.99363219354956,5.94895024925235,11917,TRUE
"E05009321",4.95765857477029,0.3500048667862,4.27886076161883,4.9532375219334,5.65385178953937,9842.75,TRUE
"E05009322",5.26989886261269,0.43374975348303,4.41368795991515,5.26603033535252,6.11246466303628,11680.75,TRUE
"E05009323",5.29864340239978,0.453936585150059,4.40357831201778,5.30577202345905,6.1778826609518,15926.5,TRUE
"E05009324",5.90678516142511,0.497570431572431,4.95646980519223,5.898393531244,6.93011599635284,13201.25,TRUE
"E05009325",5.29469212691246,0.376672837517829,4.56052625152065,5.29517585740447,6.04711268565416,17953.5,TRUE
"E05009326",5.62029491875057,0.561258997587841,4.54525827214433,5.61869393889363,6.772977014957,5958.25,TRUE
"E05009327",5.06627694553724,0.2903101588711,4.50096105064342,5.06822253345987,5.60517347168754,18211.75,TRUE
"E05009328",5.3809738771006,0.485977486784517,4.4501798307332,5.37108391523935,6.36270543367963,6576.5,TRUE
"E05009329",5.07810149834674,0.371454584760735,4.36696082402651,5.07524394599843,5.81332674117179,12313.5,TRUE
"E05009330",5.5116344505561,0.431291429078717,4.68953152824327,5.51007252771351,6.38632248430067,10845.25,TRUE
"E05009331",5.22563991025874,0.401521394865515,4.43936212462796,5.22442410008975,6.01783345277921,17234.75,TRUE
"E05009332",4.36719174289624,0.379917883754987,3.63137319970697,4.36494452830038,5.10893003338501,11022.25,TRUE
"E05009333",5.20869362673636,0.361204973903693,4.49728910052422,5.20190405178847,5.92331363159934,11833,TRUE
