"wd24cd","mean","sd","q2.5","q50","q97.5","N","has_microdata"
"E05009317",6.30070461542567,0.231812012848762,5.85108727695366,6.29777184170522,6.7506553583111,18085.25,TRUE
"E05009318",7.11618431645557,0.294514329953825,6.5424936506976,7.11422553440279,7.67845457439676,18990.75,TRUE
"E05009319",6.29473218340732,0.285385706645081,5.75371410390163,6.29584721355378,6.86645447168977,17107.5,TRUE
"E05009320",6.76618183872661,0.391793437373278,5.98549305278034,6.77821686103598,7.5157232558135,11917,TRUE
"E05009321",6.63341829326486,0.215991453173811,6.22057015456743,6.63225799197628,7.05086557384951,9842.75,TRUE
"E05009322",6.77333925967025,0.30192218749323,6.17775371449288,6.77051374962208,7.38276957986395,11680.75,TRUE
"E05009323",6.16233531185128,0.333375267546882,5.51412054936647,6.16448093064738,6.81869858815499,15926.5,TRUE
"E05009324",6.9164666400419,0.356068684567768,6.23319905803105,6.91168005771815,7.63285054024964,13201.25,TRUE
"E05009325",5.78810414015419,0.235822703829906,5.32843049864726,5.78850231784514,6.25805936931799,17953.5,TRUE
"E05009326",6.83615858209518,0.508456923313801,5.8258477907044,6.83343967971906,7.84931814339045,5958.25,TRUE
"E05009327",6.15473673478901,0.169839926217165,5.82199513763366,6.15355794701414,6.4898085933524,18211.75,TRUE
"E05009328",6.33051849942495,0.360944466116601,5.59123288498229,6.33076247273216,7.04233298895604,6576.5,TRUE
"E05009329",6.00876040371145,0.227991738042785,5.56540329182974,6.0062485973222,6.4603164903351,12313.5,TRUE
"E05009330",6.39862493905374,0.298750757441729,5.83397627489817,6.40171492859697,6.97912265448885,10845.25,TRUE
"E05009331",5.50563060340379,0.259988272775325,5.00054238974148,5.50292382768485,6.01827030859959,17234.75,TRUE
"E05009332",5.55622757592249,0.235058355443095,5.09402622044548,5.55705544632957,6.00396613688048,11022.25,TRUE
"E05009333",6.53961133316428,0.225501927474528,6.08742453745398,6.54089077337961,6.96167712277602,11833,TRUE
"E05009334",5.87202531314706,0.288832467462432,5.31561636187444,5.87056021206563,6.42405853853234,10383.75,TRUE
"E05009335",6.88738853013571,0.369950601766396,6.16368908585602,6.89049478484621,7.60911751506884,11675,TRUE
"E05009336",6.63261781948392,0.350640654250759,5.96474637705595,6.62956763761681,7.34043710214513,16486.75,TRUE
"E05009367",6.65732255615325,0.301091382145875,6.07332466135932,6.66219669001594,7.22733292369315,8030.75,TRUE
"E05009368",5.89558329764361,0.389610828143608,5.13849200018672,5.89445454040148,6.64977159975817,12162.25,TRUE
"E05009369",6.98467844536532,0.317335456029106,6.36517721508223,6.98070298171816,7.60127907312542,10969.5,TRUE
"E05009370",7.17457879352271,0.510966339981492,6.15736024663303,7.18719354687272,8.17488231104144,8048,TRUE
"E05009371",6.95067886364437,0.475661970084094,6.0023292727478,6.94925759980231,7.89045690997726,8068.25,TRUE
"E05009372",6.65181742918556,0.379091598819277,5.88967323590557,6.65855008188806,7.38032977956377,11111.5,TRUE
"E05009373",6.74539213820874,0.555709117804445,5.65560743139167,6.75200890340508,7.84931478595436,11390.25,FALSE
"E05009374",6.91831796073253,0.375103801445375,6.19461526984709,6.92612282254026,7.67324780228608,10654.25,TRUE
"E05009375",6.7461061510625,0.314838437135479,6.1449027613108,6.74371023573617,7.36609510478943,12787.25,TRUE
