"wd24cd","mean","sd","q2.5","q50","q97.5","N","has_microdata"
"E05009317",3.27910250585852,0.467344616476531,2.39771173279099,3.2775242045681,4.30403838861688,18085.25,TRUE
"E05009318",4.19713969723905,0.52531745058586,3.29691571057889,4.13572329775807,5.40381062057397,18990.75,TRUE
"E05009319",3.53609849405497,0.491978827659518,2.49075595221214,3.56573604240384,4.4717441842302,17107.5,TRUE
"E05009320",3.37403322769036,0.507677586304549,2.32905855264948,3.38256372350097,4.37619536765422,11917,TRUE
"E05009321",3.17798935454692,0.448719309515717,2.24582692965619,3.194653127479,4.02305453351553,9842.75,TRUE
"E05009322",3.24352169693251,0.503041927058734,2.16551472783171,3.26563979000904,4.17517073649529,11680.75,TRUE
"E05009323",3.87389860613237,0.506737704142582,2.82228292240705,3.89292677517101,4.8530117352804,15926.5,TRUE
"E05009324",3.73946665506871,0.52521191592956,2.76759787355572,3.71642414510951,4.89859019809381,13201.25,TRUE
"E05009325",3.38408749295562,0.498444576619124,2.49590218838565,3.34803032607761,4.46809083063667,17953.5,TRUE
"E05009326",3.96769619598217,0.524867495001118,2.97690341319453,3.94993408322484,5.06622836417209,5958.25,TRUE
"E05009327",3.15502593976697,0.450131764906122,2.16347813776991,3.19127282334787,3.91922732653738,18211.75,TRUE
"E05009328",3.15213071509177,0.48865610358253,2.10788570898866,3.16616903763121,4.11032473901388,6576.5,TRUE
"E05009329",2.96699698248567,0.457700457066838,1.96790512164177,2.99035883406461,3.84948164751121,12313.5,TRUE
"E05009330",3.92096338052839,0.482193140880839,2.93134517815354,3.92593190250118,4.90188650920499,10845.25,TRUE
"E05009331",3.24550460072447,0.478072793508515,2.18585644083354,3.27004529714049,4.13109915627311,17234.75,TRUE
"E05009332",3.01081780692784,0.464124389253043,2.10564150691579,3.02048488273579,3.9406338902515,11022.25,TRUE
"E05009333",3.35870299218124,0.453784119627202,2.43973450260581,3.36541379164412,4.27406394905864,11833,TRUE
"E05009334",2.82750362240912,0.4849251092824,1.80230245856388,2.8507381582796,3.72302516645387,10383.75,TRUE
"E05009335",3.4928491260327,0.510841885148565,2.44942226587243,3.49198672548218,4.54569750068906,11675,TRUE
"E05009336",3.67927641596121,0.520032456593021,2.71169734752952,3.6429549869122,4.80841733746497,16486.75,TRUE
"E05009367",4.09646771519501,0.480716319975655,3.07962793308899,4.11866035799037,5.00820189350707,8030.75,TRUE
"E05009368",3.56456597035665,0.500560339631382,2.48355495946483,3.59024962380422,4.52824100804933,12162.25,TRUE
"E05009369",4.30084128008566,0.507635427506498,3.41525085298834,4.23587640896982,5.4447427671248,10969.5,TRUE
"E05009370",4.33261552208533,0.513292246751607,3.24981608296345,4.34187540087676,5.36518121388229,8048,TRUE
"E05009371",4.17794976975691,0.503207469353862,3.14819103173041,4.16439037726861,5.24930777774659,8068.25,TRUE
"E05009372",3.89207223790789,0.488284697840684,2.90760379906342,3.87623510215831,4.94472137639721,11111.5,TRUE
"E05009373",3.86253687733714,0.514616579544302,2.79659900490757,3.84817056842493,4.96245557911133,11390.25,FALSE
"E05009374",3.64044680898134,0.506346782835765,2.57554825407553,3.64216933565204,4.6723009264153,10654.25,TRUE
"E05009375",4.05021938148564,0.485949908801126,3.09110102442047,4.02891271071397,5.0663673629735,12787.25,TRUE
"E05009376",3.99059156436138,0.524103636220763,3.09726939922933,3.9239589867052,5.18954605257103,11786.25,TRUE
"E05009377",4.02128729237277,0.493793727813085,2.9578619439807,4.04379959334763,4.97752700005738,10558.25,TRUE
"E05009378",4.09783304806851,0.509064074937845,3.07931171812589,4.07195810012385,5.17970446809586,12288.5,TRUE
"E05009379",3.61255977446715,0.481563539301502,2.67490197124304,3.59246181305586,4.67849400992219,11040.5,TRUE
"E05009380",3.95641222214619,0.468746634117546,3.04428606687768,3.93734393466501,4.97057226242512,11990.25,TRUE
"E05009381",3.96975373624463,0.49637475484772,2.98029018032948,3.9519807563963,5.04142747988875,11237.75,TRUE
"E05009382",4.02066961106372,0.505372133776702,3.05642259084803,3.99633803262892,5.11942178372807,7907.5,TRUE
"E05009383",3.22409242420371,0.491536469466488,2.15684398383639,3.25490777746645,4.14891715970951,11693.25,TRUE
"E05009384",3.5168592277479,0.506183846064288,2.5061837081933,3.49709424363174,4.61405991380272,7781,TRUE
"E05009385",3.82366076815841,0.490407413195118,2.73509536601077,3.85899988538233,4.74227025852615,11687,TRUE
"E05009386",3.81665970611314,0.471922157110634,2.84796068467704,3.8182974503631,4.77745372792836,10574,TRUE
"E05009387",3.72351565190071,0.519599838746452,2.65313297581448,3.72494173980915,4.77031704178445,10120.25,FALSE
"E05009388",3.62388013993011,0.534758002070907,2.55428251109531,3.60442240222911,4.77167222291901,7082.25,FALSE
"E05009389",3.52707839282294,0.532223702295054,2.45071970076518,3.51291700070432,4.64691024571455,7045.75,TRUE
"E05009390",3.67951839674759,0.536816544823523,2.63067721714234,3.6568731829361,4.81367117883668,7563.75,FALSE
"E05009391",3.20359784785342,0.524834933682788,2.13387655833231,3.18055764086443,4.33203109387701,6800.5,FALSE
"E05009392",3.70043632692882,0.532564178257763,2.75761305635617,3.65083174488518,4.91149478189713,7752.25,TRUE
"E05009393",3.80003422497348,0.521009871756162,2.75305874582111,3.77934449871131,4.89021691914242,7536.5,FALSE
"E05009394",3.25625695137785,0.534516398048198,2.2724331640461,3.21271304413366,4.4276922063659,6221.75,TRUE
"E05009395",3.75547512310737,0.512969389348093,2.72789684990998,3.73258324255811,4.84649741785206,8186.25,TRUE
"E05009396",3.31575666870685,0.528495777465211,2.25239713660824,3.30052519494757,4.40440259089663,7871,TRUE
"E05009397",3.61339659874054,0.527747372440843,2.56572915210038,3.59253455138119,4.74993766789044,7916.75,FALSE
"E05009398",3.59209337595775,0.529885483111856,2.44975509327456,3.57686882689553,4.66684802180675,5078.5,FALSE
"E05009399",3.26965422784065,0.538128980379095,2.20709218525772,3.24977618932963,4.39230438658776,7963.5,TRUE
"E05009400",3.84504287646877,0.542662307379577,2.74478247680362,3.83843904110514,4.97035608242186,4917.5,FALSE
"E05009401",3.51171805025434,0.537158663068777,2.39967664558672,3.51659987346161,4.55401668489665,7128,TRUE
"E05009402",3.73680224722462,0.532014287147931,2.65455094426518,3.73014404617962,4.83630419003478,8280.25,FALSE
"E05009403",3.39516950001691,0.528264146311974,2.29185201227313,3.38726189888895,4.44889143895596,7682.5,FALSE
"E05009404",3.46076706190541,0.538886896383826,2.35419629780912,3.44755872634593,4.59228131637783,5427.25,FALSE
"E05009405",3.44513380102318,0.541077892405239,2.33781033429773,3.4304784030608,4.59566487558804,7697.25,TRUE
"E05011095",3.86215591592087,0.528123097458521,2.80473101515766,3.85455614901359,4.93259173020308,8400.5,FALSE
"E05011096",3.91933818895273,0.496152608525761,2.96269926326839,3.89615792224543,4.96149028847678,13602.25,TRUE
"E05011097",4.08211597782173,0.51023350693785,3.05772637627612,4.06139707976031,5.17324352693916,7914,TRUE
"E05011098",3.92740962760822,0.507935579471442,2.84879289422003,3.93843574272513,4.93218263234413,13092.25,TRUE
"E05011099",3.85613402430838,0.536840341121937,2.61610370004502,3.89341178231492,4.84894118717463,8213.5,TRUE
"E05011100",3.95460877511443,0.517169711745225,3.0540926924323,3.88925939000209,5.12806093161369,8522,TRUE
"E05011101",3.81570313182204,0.488644951514855,2.8908801961562,3.786144020328,4.88213680128128,8887.25,TRUE
