wd24cd,outcome,mean
E05009317,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,2.13841373997107
E05009318,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,2.34421752572983
E05009319,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,2.10285512719828
E05009320,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,2.38736279341525
E05009321,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,1.15163693201026
E05009322,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,1.07341848649498
E05009323,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,1.48416012637456
E05009324,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,1.85235604230407
E05009325,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,1.63049339454354
E05009326,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,2.40899584281894
E05009327,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,1.56487486815356
E05009328,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,1.55031972896823
E05009329,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,1.09130372727785
E05009330,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,1.63155392181883
E05009331,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,1.22384113870489
E05009332,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,1.97360944910306
E05009333,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,1.41837005961033
E05009334,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,1.16381423006739
E05009335,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,1.80079836021822
E05009336,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,2.07364614498771
E05009367,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,2.69981912352677
E05009368,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.48138538438353
E05009369,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,2.65357096686392
E05009370,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,2.60742810964526
E05009371,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,2.72581794669546
E05009372,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,2.648372885068
E05009373,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,2.89261034055295
E05009374,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,2.29451428186555
