wd24cd,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,SUBD__Belonging..Connections.and.Leisure__Sense.of.community,SUBD__Belonging..Connections.and.Leisure__Social.relationships,SUBD__Foundations.of.Prosperity__An.inclusive.economy,SUBD__Foundations.of.Prosperity__Secure.Livelihoods,SUBD__Health.and.Healthy.Environments__Healthy..safe.and.clean.neighbourhoods,SUBD__Health.and.Healthy.Environments__Healthy.bodies.and.healthy.minds,SUBD__Opportunities.and.Aspirations__Freedom..choice.and.control,SUBD__Opportunities.and.Aspirations__Good.quality.basic.education,SUBD__Opportunities.and.Aspirations__Lifelong.learning,SUBD__Power..Voice.and.Influence__Political.inclusion,SUBD__Power..Voice.and.Influence__Voice.and.influence
E05009317,2.13841373997107,4.19888174269583,6.73034398497692,5.22205515483958,6.30070461542567,5.6251186812604,5.73418451905463,6.1323087203192,6.09245811569781,3.27910250585852,4.70805767836837,5.14486422283566
E05009318,2.34421752572983,3.6816939453628,6.36828854721297,5.64870529631321,7.11618431645557,7.28768303422889,5.99905430473932,6.29154171636383,6.47729116297214,4.19713969723905,5.2351226486591,5.18964829800642
E05009319,2.10285512719828,4.14426043227744,6.66784604749855,5.1885658936529,6.29473218340732,6.69232497082507,5.08231232426663,6.01085080871658,5.9213668845191,3.53609849405497,4.99121215423947,5.13037615521209
E05009320,2.38736279341525,4.46340743792608,6.53901124980313,4.99359565153922,6.76618183872661,4.98349526667328,5.71968041394495,6.20148995575985,6.39546471992829,3.37403322769036,4.6247080075965,5.1241252786291
E05009321,1.15163693201026,3.84743708610229,6.58606021476552,4.95765857477029,6.63341829326486,5.69578683230067,5.075657089942,6.46986741740695,6.70296694858888,3.17798935454692,4.59104084485242,4.93910690844414
E05009322,1.07341848649498,4.42975349815844,6.43704450105173,5.26989886261269,6.77333925967025,6.18870623786144,5.25337956645373,5.98285406124131,6.56989556943332,3.24352169693251,4.9537313771275,5.23646848730682
E05009323,1.48416012637456,4.48653002695315,6.37248645138754,5.29864340239978,6.16233531185128,6.37769995020771,5.48205661449242,6.49491922278966,6.92479212673931,3.87389860613237,4.70340525993404,5.15089436999544
E05009324,1.85235604230407,3.86854774343447,6.60656010286531,5.90678516142511,6.9164666400419,6.37911639030516,6.13072827126285,6.30781132672563,7.32421663638634,3.73946665506871,5.28987564043396,5.1372293054773
E05009325,1.63049339454354,4.29054570531869,6.50054655015791,5.29469212691246,5.78810414015419,5.76475670427836,4.86522693895412,6.13829690309769,5.57814802013728,3.38408749295562,5.11788625114245,4.95895290173047
E05009326,2.40899584281894,4.2343598797885,6.67847187496117,5.62029491875057,6.83615858209518,6.5252631655231,5.84405730959377,6.41332712244811,6.82210646718814,3.96769619598217,5.18473203336647,5.20241170471416
E05009327,1.56487486815356,4.06410323349287,6.72149668923043,5.06627694553724,6.15473673478901,5.91625255962555,5.18846604696046,5.82164738804449,6.41768928944864,3.15502593976697,5.20688902810958,5.21861464079026
E05009328,1.55031972896823,3.69105632000754,6.40705691984017,5.3809738771006,6.33051849942495,5.65168751542486,5.41555997943759,6.28565871087667,5.7621724595462,3.15213071509177,4.74821715335308,4.9780516122544904
E05009329,1.09130372727785,4.23723305161564,6.75757312637216,5.07810149834674,6.00876040371145,6.71878524541368,5.13140669942932,6.67187920474111,5.93028648576491,2.96699698248567,4.50149366307532,5.03353469210379
E05009330,1.63155392181883,4.14280885531323,6.83631975147023,5.5116344505561,6.39862493905374,6.09458620050313,5.60584710782261,6.14390473198421,7.06609599184862,3.92096338052839,5.35385157143461,5.15109428658408
E05009331,1.22384113870489,3.92133068518813,6.4054242354519,5.22563991025874,5.50563060340379,4.08690328576149,5.41325142325784,6.0597774713936,6.4942678423206,3.24550460072447,5.05213765011804,4.98506662014059
E05009332,1.97360944910306,3.60624544027154,6.32349690224934,4.36719174289624,5.55622757592249,4.19126982116205,5.32514210803718,6.04966138799852,5.89491489604509,3.01081780692784,4.18817560527219,4.89393679579173
E05009333,1.41837005961033,3.48859900294722,6.88007098235167,5.20869362673636,6.53961133316428,5.69175018814489,5.94575420317745,6.20653776506043,6.3164441390086,3.35870299218124,4.98930915143201,5.06918730095929
E05009334,1.16381423006739,4.06832354881957,6.73676131793173,5.007362255519,5.87202531314706,5.94990518177493,5.30809766395137,6.44694139482822,6.65120487821774,2.82750362240912,5.14700313407188,5.1662812393898
E05009335,1.80079836021822,4.42934245911695,6.72315061324681,5.56379891560605,6.88738853013571,6.2689050797125,5.44507046427229,6.26472216645955,6.36446762037574,3.4928491260327,4.96430854476002,5.05464071209645
E05009336,2.07364614498771,4.06187869624194,6.54653337012772,5.64220521764026,6.63261781948392,5.5460224824862,5.61031952021729,6.52111966555156,6.32531287253902,3.67927641596121,4.77814798991066,5.04657534114039
E05009367,2.69981912352677,4.26029714187154,6.42699763897949,4.82781743949668,6.65732255615325,7.16689729907351,5.83380209579799,6.01029969284406,6.42809877615573,4.09646771519501,5.7900048996859,5.12206051903791
E05009368,3.48138538438353,4.34690484071703,6.70897513884737,5.13152273034362,5.8955832976436104,5.30658468376008,5.59830143327561,6.29326981761048,6.58356591471315,3.56456597035665,5.39272216187226,5.03888513935565
E05009369,2.65357096686392,4.85568469158762,6.71871464783097,5.86493054876696,6.98467844536532,5.96426223443283,5.39277102071161,6.4048020102849,7.06363425521911,4.30084128008566,5.52881795472578,5.13435869337873
E05009370,2.60742810964526,4.36272099783921,6.72549253775214,5.80551761023052,7.17457879352271,6.5798173999774,5.69791418131816,6.38781057483081,6.76794132056678,4.33261552208533,5.43157682606682,5.11240310890144
E05009371,2.72581794669546,4.43908018393598,6.60488035743708,5.65701883409089,6.95067886364437,6.56776538814937,5.76622855355759,6.39201937188358,6.69977108833945,4.17794976975691,5.39995018764197,5.10453351057455
