wd24cd,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,SUBD__Belonging..Connections.and.Leisure__Sense.of.community,SUBD__Belonging..Connections.and.Leisure__Social.relationships,SUBD__Foundations.of.Prosperity__An.inclusive.economy,SUBD__Foundations.of.Prosperity__Secure.Livelihoods,SUBD__Health.and.Healthy.Environments__Healthy..safe.and.clean.neighbourhoods,SUBD__Health.and.Healthy.Environments__Healthy.bodies.and.healthy.minds,SUBD__Opportunities.and.Aspirations__Freedom..choice.and.control,SUBD__Opportunities.and.Aspirations__Good.quality.basic.education,SUBD__Opportunities.and.Aspirations__Lifelong.learning,SUBD__Power..Voice.and.Influence__Political.inclusion,SUBD__Power..Voice.and.Influence__Voice.and.influence,DOM__Belonging..Connections.and.Leisure,DOM__Foundations.of.Prosperity,DOM__Health.and.Healthy.Environments,DOM__Opportunities.and.Aspirations,DOM__Power..Voice.and.Influence,CPI_z,CPI_0_100
E05009317,2.13841373997107,4.19888174269583,6.73034398497692,5.22205515483958,6.30070461542567,5.6251186812604,5.73418451905463,6.1323087203192,6.09245811569781,3.27910250585852,4.70805767836837,5.14486422283566,4.35587982254794,5.761379885132625,5.679651600157515,5.167956447291843,4.926460950602015,-1.048518590443897,31.769281457774454
E05009318,2.34421752572983,3.6816939453628,6.36828854721297,5.64870529631321,7.11618431645557,7.28768303422889,5.99905430473932,6.29154171636383,6.47729116297214,4.19713969723905,5.2351226486591,5.18964829800642,4.131400006101867,6.38244480638439,6.643368669484105,5.6553241921916735,5.21238547333276,0.3437882223545554,57.260955123849094
E05009319,2.10285512719828,4.14426043227744,6.66784604749855,5.1885658936529,6.29473218340732,6.69232497082507,5.08231232426663,6.01085080871658,5.9213668845191,3.53609849405497,4.99121215423947,5.13037615521209,4.304987202324757,5.7416490385301096,5.88731864754585,5.15610539576355,5.06079415472578,-0.8583977042189859,35.250194963475955
E05009320,2.38736279341525,4.46340743792608,6.53901124980313,4.99359565153922,6.76618183872661,4.98349526667328,5.71968041394495,6.20148995575985,6.39546471992829,3.37403322769036,4.6247080075965,5.1241252786291,4.46326049371482,5.879888745132915,5.351587840309115,5.323662634459501,4.8744166431128,-1.023925200469195,32.219560567102036
E05009321,1.15163693201026,3.84743708610229,6.58606021476552,4.95765857477029,6.63341829326486,5.69578683230067,5.075657089942,6.46986741740695,6.70296694858888,3.17798935454692,4.59104084485242,4.93910690844414,3.8617114109593564,5.795538434017575,5.385721961121336,5.45027457351425,4.76507387664828,-1.4492479729797951,24.43234784938346
E05009322,1.07341848649498,4.42975349815844,6.43704450105173,5.26989886261269,6.77333925967025,6.18870623786144,5.25337956645373,5.98285406124131,6.56989556943332,3.24352169693251,4.9537313771275,5.23646848730682,3.9800721619017168,6.02161906114147,5.721042902157585,5.2654237758690465,5.09509993221716,-0.874674031051853,34.952192534491296
E05009323,1.48416012637456,4.48653002695315,6.37248645138754,5.29864340239978,6.16233531185128,6.37769995020771,5.48205661449242,6.49491922278966,6.92479212673931,3.87389860613237,4.70340525993404,5.15089436999544,4.11439220157175,5.7304893571255295,5.929878282350065,5.764536651887113,4.927149814964739,-0.6407744301783735,39.23464827002533
E05009324,1.85235604230407,3.86854774343447,6.60656010286531,5.90678516142511,6.9164666400419,6.37911639030516,6.13072827126285,6.30781132672563,7.32421663638634,3.73946665506871,5.28987564043396,5.1372293054773,4.109154629534617,6.411625900733505,6.254922330784005,5.790498206060226,5.21355247295563,0.23560971864049587,55.280320475642256
E05009325,1.63049339454354,4.29054570531869,6.50054655015791,5.29469212691246,5.78810414015419,5.76475670427836,4.86522693895412,6.13829690309769,5.57814802013728,3.38408749295562,5.11788625114245,4.95895290173047,4.140528550006714,5.541398133533325,5.31499182161624,5.033510805396864,5.0384195764364605,-1.5082647190576868,23.35181328758858
E05009326,2.40899584281894,4.2343598797885,6.67847187496117,5.62029491875057,6.83615858209518,6.5252631655231,5.84405730959377,6.41332712244811,6.82210646718814,3.96769619598217,5.18473203336647,5.20241170471416,4.440609199189537,6.228226750422875,6.184660237558434,5.7343765952061405,5.193571869040315,0.23737533854065607,55.31264711938161
E05009327,1.56487486815356,4.06410323349287,6.72149668923043,5.06627694553724,6.15473673478901,5.91625255962555,5.18846604696046,5.82164738804449,6.41768928944864,3.15502593976697,5.20688902810958,5.21861464079026,4.116824930292287,5.610506840163125,5.552359303293006,5.131454205753367,5.21275183444992,-1.1117144414282403,30.612231879668304
E05009328,1.55031972896823,3.69105632000754,6.40705691984017,5.3809738771006,6.33051849942495,5.65168751542486,5.41555997943759,6.28565871087667,5.7621724595462,3.15213071509177,4.74821715335308,4.9780516122544904,3.8828109896053133,5.855746188262775,5.533623747431225,5.066653961838213,4.863134382803786,-1.5086764254413012,23.344275376633277
E05009329,1.09130372727785,4.23723305161564,6.75757312637216,5.07810149834674,6.00876040371145,6.71878524541368,5.13140669942932,6.67187920474111,5.93028648576491,2.96699698248567,4.50149366307532,5.03353469210379,4.0287033017552165,5.5434309510290944,5.9250959724215,5.18972089099723,4.767514177589555,-1.3890033487684366,25.53536356863037
E05009330,1.63155392181883,4.14280885531323,6.83631975147023,5.5116344505561,6.39862493905374,6.09458620050313,5.60584710782261,6.14390473198421,7.06609599184862,3.92096338052839,5.35385157143461,5.15109428658408,4.20356084286743,5.955129694804921,5.85021665416287,5.710321368120407,5.252472929009345,-0.22062550855382232,46.92713321856853
E05009331,1.22384113870489,3.92133068518813,6.4054242354519,5.22563991025874,5.50563060340379,4.08690328576149,5.41325142325784,6.0597774713936,6.4942678423206,3.24550460072447,5.05213765011804,4.98506662014059,3.8501986864483064,5.365635256831265,4.750077354509665,5.266516638146223,5.018602135129315,-1.9535413884208845,15.199265700962368
E05009332,1.97360944910306,3.60624544027154,6.32349690224934,4.36719174289624,5.55622757592249,4.19126982116205,5.32514210803718,6.04966138799852,5.89491489604509,3.01081780692784,4.18817560527219,4.89393679579173,3.967783930541313,4.961709659409365,4.758205964599615,4.98513136365715,4.54105620053196,-2.7836964210873765,0
E05009333,1.41837005961033,3.48859900294722,6.88007098235167,5.20869362673636,6.53961133316428,5.69175018814489,5.94575420317745,6.20653776506043,6.3164441390086,3.35870299218124,4.98930915143201,5.06918730095929,3.9290133483030734,5.87415247995032,5.81875219566117,5.293894965416756,5.02924822619565,-0.9839707218886539,32.95108505589354
E05009334,1.16381423006739,4.06832354881957,6.73676131793173,5.007362255519,5.87202531314706,5.94990518177493,5.30809766395137,6.44694139482822,6.65120487821774,2.82750362240912,5.14700313407188,5.1662812393898,3.989633032272897,5.439693784333031,5.62900142286315,5.308549965151693,5.15664218673084,-1.1753910128705942,29.446380815476214
E05009335,1.80079836021822,4.42934245911695,6.72315061324681,5.56379891560605,6.88738853013571,6.2689050797125,5.44507046427229,6.26472216645955,6.36446762037574,3.4928491260327,4.96430854476002,5.05464071209645,4.31776381086066,6.2255937228708795,5.8569877719923955,5.374012970955997,5.009474628428235,-0.465822911895695,42.437826600010226
E05009336,2.07364614498771,4.06187869624194,6.54653337012772,5.64220521764026,6.63261781948392,5.5460224824862,5.61031952021729,6.52111966555156,6.32531287253902,3.67927641596121,4.77814798991066,5.04657534114039,4.227352737119123,6.137411518562089,5.578171001351745,5.508569651350597,4.912361665525525,-0.7224178323484339,37.73984342817864
E05009367,2.69981912352677,4.26029714187154,6.42699763897949,4.82781743949668,6.65732255615325,7.16689729907351,5.83380209579799,6.01029969284406,6.42809877615573,4.09646771519501,5.7900048996859,5.12206051903791,4.4623713014592665,5.742569997824965,6.50034969743575,5.511622061398267,5.456032709361905,0.22162186110885,55.024217513129585
E05009368,3.48138538438353,4.34690484071703,6.70897513884737,5.13152273034362,5.8955832976436104,5.30658468376008,5.59830143327561,6.29326981761048,6.58356591471315,3.56456597035665,5.39272216187226,5.03888513935565,4.845755121315976,5.513553013993615,5.452443058517845,5.48046723422676,5.215803650613955,-0.49975102707035485,41.81663848817512
E05009369,2.65357096686392,4.85568469158762,6.71871464783097,5.86493054876696,6.98467844536532,5.96426223443283,5.39277102071161,6.4048020102849,7.06363425521911,4.30084128008566,5.52881795472578,5.13435869337873,4.7426567687608365,6.42480449706614,5.67851662757222,5.923092515196557,5.331588324052255,0.5421318119255198,60.89241768125654
E05009370,2.60742810964526,4.36272099783921,6.72549253775214,5.80551761023052,7.17457879352271,6.5798173999774,5.69791418131816,6.38781057483081,6.76794132056678,4.33261552208533,5.43157682606682,5.11240310890144,4.565213881745537,6.490048201876615,6.13886579064778,5.82945580582764,5.27198996748413,0.5937454142096188,61.83740846494185
E05009371,2.72581794669546,4.43908018393598,6.60488035743708,5.65701883409089,6.95067886364437,6.56776538814937,5.76622855355759,6.39201937188358,6.69977108833945,4.17794976975691,5.39995018764197,5.10453351057455,4.5899261626895065,6.30384884886763,6.16699697085348,5.75658007665998,5.25224184910826,0.440650830167395,59.03440761730272
E05009372,2.648372885068,4.22890538062108,6.91305809732244,5.76374401251313,6.65181742918556,6.27209320706332,5.23360621649923,6.32865201337229,6.83404386590662,3.89207223790789,5.51054677797747,5.13293625355927,4.596778787670507,6.207780720849345,5.752849711781275,5.684922705728933,5.32174151576837,0.1746328988628318,54.16389902551446
E05009373,2.89261034055295,4.26419769418602,6.67513499887968,5.53555898718358,6.74539213820874,6.22658269210862,5.73059193887835,6.29890150369674,6.67691097274286,3.86253687733714,5.45261556705495,5.12740778422871,4.610647677872883,6.14047556269616,5.978587315493485,5.61278311792558,5.29001167564183,0.18289109634024775,54.315097937441905
E05009374,2.29451428186555,4.17790131929044,6.72366259346654,5.47378863208878,6.91831796073253,6.58039247856713,5.92664695320719,6.24760763035638,6.42295699812541,3.64044680898134,5.41357214107203,5.113007163723,4.3986927315408435,6.196053296410655,6.25351971588716,5.43700381248771,5.263289652397515,0.07605751923154776,52.35908748112545
E05009375,2.35021532110748,4.73449260947512,6.71401016976898,5.54231383685451,6.7461061510624996,6.80685857672763,5.77132181424285,6.27673495483274,7.384444163866,4.05021938148564,5.58439697029913,5.03438752716868,4.599572700117193,6.144209993958505,6.28909019548524,5.90379950006146,5.309392248733905,0.582355613140408,61.628873184277495
