"wd24cd","mean","sd","q2.5","q50","q97.5","N","has_microdata"
"E05009317",4.95615754746049,0.484654214797438,4.00721362052742,4.9608458466147,5.89833876454396,18085.25,TRUE
"E05009318",4.12031777714991,0.565363092233387,3.00799252599553,4.11856861455229,5.21078314521275,18990.75,TRUE
"E05009319",3.59499511478309,0.56424569523721,2.47428049264195,3.60255219550703,4.67281318051571,17107.5,TRUE
"E05009320",4.05876163025304,0.685644596232949,2.74164647091547,4.05209258592763,5.40685786741964,11917,TRUE
"E05009321",3.07851011360983,0.426614692255724,2.24521259458591,3.08009405118803,3.91684130587672,9842.75,TRUE
"E05009322",3.26190836674396,0.574678242011227,2.15915762733905,3.26692853117258,4.40770002882711,11680.75,TRUE
"E05009323",3.54315880215323,0.616467233563505,2.32738296222132,3.54339381034683,4.76982236291196,15926.5,TRUE
"E05009324",4.25152659881987,0.712992433196638,2.8645289742296,4.24990550080148,5.64182998318234,13201.25,TRUE
"E05009325",3.03108255025461,0.482299203113227,2.07451552424628,3.03312383456753,3.96959807259258,17953.5,TRUE
"E05009326",4.36304516617964,0.831633524627459,2.76692351125295,4.35442364239887,6.01178798024826,5958.25,TRUE
"E05009327",3.54441657258469,0.341695405780288,2.87353155246496,3.54213328198258,4.20508771362063,18211.75,TRUE
"E05009328",3.50590527083551,0.665885302214396,2.19980176947218,3.49674782419797,4.82864036762997,6576.5,TRUE
"E05009329",3.24909247378282,0.443718154657856,2.35818248593219,3.24498522029024,4.11296454467823,12313.5,TRUE
"E05009330",3.8668321776013,0.56044798506777,2.75201780510793,3.86461712316639,4.98171656270744,10845.25,TRUE
"E05009331",3.02934919997844,0.499833792704625,2.06609310580918,3.02613570557572,4.00009868551726,17234.75,TRUE
"E05009332",3.98174668651647,0.463422482372404,3.07504673868786,3.98163633913385,4.88796526589862,11022.25,TRUE
"E05009333",4.46613471880732,0.457073009504926,3.5865807954561,4.47072012690575,5.39043754772455,11833,TRUE
"E05009334",3.31865250745008,0.556782516394122,2.21819877942812,3.32938893950536,4.4076162825378,10383.75,TRUE
"E05009335",3.73082504948857,0.680857271931984,2.38236270869548,3.72501270386818,5.0479539003261,11675,TRUE
"E05009336",4.9250727441733,0.663971630156987,3.62232488227774,4.92456784199875,6.23066257644243,16486.75,TRUE
"E05009367",4.42994961955146,0.574154993018917,3.30765074609624,4.42989846654006,5.55353960226755,8030.75,TRUE
"E05009368",3.86450655501944,0.680103899077246,2.53957010557597,3.858670844626,5.1913642137471,12162.25,TRUE
"E05009369",4.00899258511807,0.589175002919083,2.83894086509574,4.01358044474887,5.15016529390722,10969.5,TRUE
"E05009370",3.9928433801651,0.831819832680394,2.385509109897,3.98162126416789,5.64656872403934,8048,TRUE
"E05009371",4.09845508363698,0.776233364586299,2.55284431916426,4.10086926694713,5.60230620994205,8068.25,TRUE
"E05009372",3.84221117991429,0.689569603643422,2.49027469241629,3.83142000552058,5.18346193294674,11111.5,TRUE
"E05009373",4.25478961550108,0.880328547474144,2.50529900386487,4.24865938051931,5.9716051397111,11390.25,FALSE
"E05009374",4.27353899867165,0.68793249688567,2.90145120285614,4.2865264995996,5.60606600658668,10654.25,TRUE
"E05009375",4.95888562327467,0.599586191227457,3.79601849607008,4.95024758672634,6.13890563234066,12787.25,TRUE
"E05009376",5.186590896771,0.641894291680313,3.91772786577578,5.186723953555,6.43406901543887,11786.25,TRUE
"E05009377",4.08337210947879,0.601743001081217,2.90992025585655,4.08072974800283,5.24969782052629,10558.25,TRUE
"E05009378",4.25235494260182,0.756971348450529,2.78916258584878,4.25360357291623,5.74730305868476,12288.5,TRUE
"E05009379",3.67965534281048,0.603978324726961,2.47653748574816,3.67470914361869,4.8661792709539,11040.5,TRUE
"E05009380",5.49050981761234,0.566003783497818,4.39335613708652,5.48482639922471,6.6166244624808,11990.25,TRUE
"E05009381",3.89014116584833,0.675000983460195,2.54759022170313,3.89826732098508,5.18876549192384,11237.75,TRUE
"E05009382",4.18705402004982,0.80804655051744,2.56705300432713,4.19260883738557,5.76547901305888,7907.5,TRUE
"E05009383",4.25788992611287,0.612358691391666,3.06754520687534,4.25933474309947,5.48450544603085,11693.25,TRUE
"E05009384",3.92628721864375,0.669234068925278,2.62327849648204,3.92901642356765,5.22255797681068,7781,TRUE
"E05009385",4.25095307158524,0.587043431207122,3.0976092884244,4.24714398614686,5.41462956155991,11687,TRUE
"E05009386",4.12014877146226,0.668289314842532,2.81316589686751,4.11900930607322,5.42436270263932,10574,TRUE
"E05009387",4.29816007243482,0.874844405576415,2.585956696749,4.28892144509389,6.03029310029229,10120.25,FALSE
"E05009388",4.30594870865712,0.889263941665545,2.55310041435237,4.30954750394379,6.08745466436708,7082.25,FALSE
"E05009389",4.6248804813048,0.837457607391182,3.00671760989653,4.62484285953933,6.27488330354638,7045.75,TRUE
"E05009390",4.29281129117987,0.87519515613424,2.56217634601275,4.2897409495619,5.99603480434067,7563.75,FALSE
"E05009391",4.33232128887957,0.883568867739265,2.58785260043539,4.33972801249167,6.06471749372754,6800.5,FALSE
"E05009392",4.22803708371626,0.714435018016243,2.81775879388459,4.22604658472033,5.62461726360139,7752.25,TRUE
"E05009393",4.28844555028756,0.870710118074191,2.54774821237318,4.29694964282563,6.00882411826167,7536.5,FALSE
"E05009394",4.65690418360854,0.754113840032518,3.19912968347809,4.65837067336204,6.14012828892985,6221.75,TRUE
"E05009395",4.59636311653946,0.738327665628166,3.1444880976936,4.59070232252356,6.05070303614411,8186.25,TRUE
"E05009396",3.29981164475706,0.743755578521818,1.80822034868806,3.30690718677141,4.7441816716725,7871,TRUE
"E05009397",4.28653041702714,0.868072935939563,2.59752154267818,4.28043727308516,5.98975341362391,7916.75,FALSE
"E05009398",4.2598832866788,0.878249758195682,2.51076498672068,4.25784557753596,6.03382497738421,5078.5,FALSE
"E05009399",4.41357258268099,0.729356275650385,2.97911579338839,4.42358473080437,5.81893236552177,7963.5,TRUE
"E05009400",4.29753873767517,0.891314235636425,2.57684822418007,4.28298999007529,6.04708947261351,4917.5,FALSE
"E05009401",4.29730021409472,0.829380000946595,2.67269252715459,4.2872011629112,5.90194686614462,7128,TRUE
"E05009402",4.31094096051264,0.870844063952646,2.64506524809452,4.30986459140555,6.03652002797394,8280.25,FALSE
"E05009403",4.3126408051843,0.879709243842081,2.58204699664634,4.32441490115592,6.03159983583869,7682.5,FALSE
"E05009404",4.28750547779837,0.883960098701134,2.54257359773918,4.28505826925287,6.02306939012675,5427.25,FALSE
"E05009405",4.10084013967133,0.82653936722315,2.45497482126785,4.10373634713808,5.71132374725143,7697.25,TRUE
"E05011095",4.44349824457827,0.881133761764008,2.72514684443655,4.43721922919469,6.21048222892604,8400.5,FALSE
"E05011096",5.60969880778385,0.538584635213568,4.56027555082951,5.60792939269193,6.65226426020464,13602.25,TRUE
"E05011097",4.10020848644788,0.779996783602767,2.58190290213949,4.10372033449757,5.63502498418766,7914,TRUE
"E05011098",3.88089475164133,0.707352149690279,2.46778939649906,3.88875073735686,5.26543004553249,13092.25,TRUE
"E05011099",4.63625808002055,0.735794092015561,3.18422248292579,4.62796438207947,6.11341031921403,8213.5,TRUE
"E05011100",4.27649714656199,0.651078944049136,3.00628139174837,4.27866889952996,5.54255078846356,8522,TRUE
"E05011101",4.06540509791048,0.597103263105284,2.90428252360583,4.06207168716837,5.23134278088977,8887.25,TRUE
"E05011102",3.56276538603675,0.689604748257158,2.22777188570077,3.55838624891676,4.92040615639831,10640,TRUE
"E05011103",4.2583867121992,0.837542028261518,2.63236870044081,4.24509026823578,5.88486935464693,11754.5,TRUE
"E05011104",5.49228923506682,0.662173706133351,4.22426794200947,5.49530566689643,6.80098937815229,13660,TRUE
"E05011105",4.78862044674305,0.714127661134835,3.37628748429576,4.78562223768882,6.21115824072507,11742,TRUE
"E05011106",4.3894936890432,0.709839161528216,2.99673325203582,4.38260404382341,5.77719937577139,13682.25,TRUE
"E05011107",4.46292457773218,0.736231818481574,3.00752323520557,4.46071470280313,5.91705520778617,14155.5,TRUE
"E05011108",5.06958521945167,0.643481226493663,3.81667762952251,5.06592390543281,6.34415191307295,13573.5,TRUE
"E05011109",3.17376887151422,0.607563671820569,1.9831711611899,3.18000739662072,4.3345411982685,16257.75,TRUE
"E05011110",5.04393247775529,0.748138478542254,3.60826880451292,5.03127045611559,6.49125945899198,12756,TRUE
"E05011111",4.39597672879628,0.821263817752788,2.80818788325606,4.38882990812573,6.04894290832787,8485.25,TRUE
"E05011112",4.49715398911109,0.67276708136331,3.17933079089641,4.49711978795969,5.82618128334973,13785.25,TRUE
