"wd24cd","mean","sd","q2.5","q50","q97.5","N","has_microdata"
"E05009317",6.3009327637766,0.231379549235116,5.8464968164313,6.30080136710504,6.74802957995901,18085.25,TRUE
"E05009318",7.115744695797,0.300258157876877,6.53585226689364,7.11664475923173,7.69691109667657,18990.75,TRUE
"E05009319",6.28756580168899,0.287696796893313,5.72066859621056,6.28786191700315,6.85541988704985,17107.5,TRUE
"E05009320",6.7704843991537,0.388347881008831,6.01156761641778,6.77112353452198,7.52379842004872,11917,TRUE
"E05009321",6.6334093158846,0.213942502127148,6.22083164915913,6.63446878562677,7.04694458301275,9842.75,TRUE
"E05009322",6.77067506780991,0.311425229045975,6.16661339084124,6.76891108011421,7.39615345155774,11680.75,TRUE
"E05009323",6.15262844240889,0.330649258919813,5.50145841944989,6.15030129341318,6.80251423459908,15926.5,TRUE
"E05009324",6.91513394879237,0.357431184684091,6.22196426727923,6.91396512045443,7.60608195188251,13201.25,TRUE
"E05009325",5.78963422826657,0.241485946854353,5.32333658752047,5.78909523244584,6.26418243549577,17953.5,TRUE
"E05009326",6.81498625160699,0.516432282526025,5.80703731662591,6.81394029588652,7.83045559483547,5958.25,TRUE
"E05009327",6.1511806329221,0.171702824362692,5.81059560325504,6.15104460137131,6.488301916044,18211.75,TRUE
"E05009328",6.3200744347611,0.366018104420469,5.60673306902963,6.31433371631869,7.03738498213636,6576.5,TRUE
"E05009329",6.003317713949,0.22579486144921,5.55730011438333,6.00594899421103,6.4396723282196,12313.5,TRUE
"E05009330",6.39737541310745,0.298763747931112,5.8169446031139,6.40234937234302,6.97437959416676,10845.25,TRUE
"E05009331",5.50526634984213,0.259470400414068,4.99500685516945,5.506135086347,6.01160512580323,17234.75,TRUE
"E05009332",5.55328201093562,0.243931506774268,5.07759428241065,5.5549778525488,6.03587660394092,11022.25,TRUE
"E05009333",6.53528966729808,0.225723761135945,6.0924549670799,6.53343085838693,6.97542496633383,11833,TRUE
"E05009334",5.862243274767,0.297498559786101,5.28414063550664,5.85971535419966,6.44288296390364,10383.75,TRUE
"E05009335",6.88315942348542,0.384241791478458,6.13842195936092,6.88144589658738,7.65038546075194,11675,TRUE
"E05009336",6.62636009609948,0.358605512614721,5.92487605504021,6.62154095072054,7.32214526163879,16486.75,TRUE
"E05009367",6.66007801165389,0.297894864092924,6.07824447379078,6.65823247208607,7.25401647919046,8030.75,TRUE
"E05009368",5.8966894765039,0.379915785385683,5.14926839009418,5.90001691994385,6.62822720473933,12162.25,TRUE
"E05009369",6.99174688304348,0.317325453501828,6.36308436694119,6.9873206371783,7.62142869018876,10969.5,TRUE
"E05009370",7.16521032112128,0.509815395697466,6.18499478449689,7.16009895742636,8.1672417832234,8048,TRUE
"E05009371",6.94065058765888,0.463124836405824,6.02007972537804,6.94180423484134,7.84452711615359,8068.25,TRUE
