"wd24cd","mean","sd","q2.5","q50","q97.5","N","has_microdata"
"E05009317",6.67486340260387,0.29276480748982,6.11064229201899,6.67111377940473,7.26322302780216,18085.25,TRUE
"E05009318",6.55343341879033,0.336521215849527,5.88968931392668,6.55193958254248,7.21762270612429,18990.75,TRUE
"E05009319",6.01157431387249,0.327853946670066,5.36296281092581,6.01652929737427,6.64459733823736,17107.5,TRUE
"E05009320",6.49591566558086,0.370404373248147,5.78039663131601,6.49294803562407,7.2391239026732,11917,TRUE
"E05009321",6.02141227775999,0.270725198079239,5.47761910868105,6.02572373383657,6.54956392419682,9842.75,TRUE
"E05009322",6.33055815210512,0.336910888675699,5.67598927057317,6.32392083477067,6.99213945546375,11680.75,TRUE
"E05009323",6.40496546249453,0.359673574986078,5.68064502730109,6.40712182352743,7.12264668086844,15926.5,TRUE
"E05009324",6.67324959291719,0.379945329598518,5.94174706915054,6.67025430277007,7.42252961936346,13201.25,TRUE
"E05009325",6.07186502738063,0.289450724320502,5.4996499403743,6.0714009391777,6.64041426067438,17953.5,TRUE
"E05009326",6.53458341570541,0.416017977438209,5.73882929449318,6.52985734788082,7.35134456906796,5958.25,TRUE
"E05009327",5.91852347046175,0.2284119471519,5.46205591565599,5.92085791720337,6.36532971498188,18211.75,TRUE
"E05009328",6.25168232377433,0.355185481748522,5.55027196593716,6.24571466822808,6.96094493373406,6576.5,TRUE
"E05009329",5.86126492116596,0.279792415937774,5.30191889056336,5.86417258613354,6.400875203606,12313.5,TRUE
"E05009330",6.07993631365874,0.337040894188607,5.41010449743511,6.08634663730555,6.73053122859906,10845.25,TRUE
"E05009331",6.23692757688686,0.311942951826928,5.62114889914848,6.23700980637583,6.85251285793281,17234.75,TRUE
"E05009332",6.13778474487444,0.285635169222934,5.57950171233093,6.14109463085036,6.69704914293719,11022.25,TRUE
"E05009333",6.16702794219946,0.282307064409295,5.61222547930416,6.16556150459315,6.73739597972894,11833,TRUE
"E05009334",6.26086072374718,0.330066413876376,5.61999503442058,6.2636526277937,6.9123560023269,10383.75,TRUE
"E05009335",6.11220510199183,0.371591848456375,5.37455668346144,6.11633070061927,6.82447391273541,11675,TRUE
"E05009336",6.46294868991341,0.369382612457351,5.72835711421087,6.45495165374532,7.2102151753775,16486.75,TRUE
"E05009367",6.08967132571936,0.339490168319962,5.42436153702824,6.09310712728028,6.75266561023896,8030.75,TRUE
"E05009368",6.30633891711953,0.376432978862875,5.56014490234141,6.30777167287964,7.02856190715107,12162.25,TRUE
"E05009369",6.06871780983547,0.351681745296615,5.37559761650485,6.07310737282322,6.75100327030477,10969.5,TRUE
"E05009370",6.47029745479885,0.413888057228345,5.65331695895921,6.47055259336161,7.27473262177583,8048,TRUE
"E05009371",6.38851913750873,0.398261066863287,5.59976571113867,6.38696513166045,7.17503088745961,8068.25,TRUE
"E05009372",6.27485174562483,0.36895255909923,5.55630631119655,6.27673747667621,6.9998015594743,11111.5,TRUE
"E05009373",6.35830827113109,0.431599629938676,5.51570703210033,6.35621024326363,7.22322699096517,11390.25,FALSE
"E05009374",6.48535500187338,0.380488389978092,5.73706007979155,6.48296691296816,7.24502543665419,10654.25,TRUE
"E05009375",6.23210736517964,0.342956128257502,5.56082813806357,6.22897282513292,6.90591427093744,12787.25,TRUE
"E05009376",6.27169352659667,0.365193355743798,5.56075945987173,6.26964747175886,6.98118383162131,11786.25,TRUE
"E05009377",6.32386602686049,0.347988865741602,5.64387787809866,6.3235905922987,7.00701977042073,10558.25,TRUE
"E05009378",6.30328264949278,0.395793684240087,5.51638471975119,6.30691297021208,7.07376337774125,12288.5,TRUE
"E05009379",6.04655141873166,0.351258421119077,5.36215674233153,6.05083096421046,6.72303834516285,11040.5,TRUE
"E05009380",6.60084353586737,0.340859865994848,5.93912427115492,6.59637932970509,7.28152915954971,11990.25,TRUE
"E05009381",6.35712681203588,0.364460742968393,5.63278354105242,6.35676890309493,7.08728619667604,11237.75,TRUE
"E05009382",6.37247571442089,0.421202722050674,5.54795185682807,6.37331982633407,7.20402502844892,7907.5,TRUE
"E05009383",6.26779715590729,0.349204289276462,5.57843292897352,6.27112029940649,6.95307813125492,11693.25,TRUE
"E05009384",6.46765247154386,0.37405026829787,5.73993290363287,6.46545528566235,7.20830131545786,7781,TRUE
"E05009385",6.49695139261005,0.346739890649919,5.81665950113599,6.48678632747009,7.19384440094297,11687,TRUE
"E05009386",6.52915584790401,0.378125653415452,5.78207050675092,6.52705001437644,7.262882774448,10574,TRUE
"E05009387",6.33022621295849,0.430267847481408,5.50495881127202,6.32817192669034,7.17396840619987,10120.25,FALSE
"E05009388",6.46637769632151,0.439749722458608,5.61403358318349,6.46256494027541,7.3336986283395,7082.25,FALSE
"E05009389",6.64693686415074,0.418361004813456,5.83876936039037,6.6412433002916,7.49103115603025,7045.75,TRUE
