wd24cd,outcome,mean
E05009317,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,4.95615754746049
E05009318,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,4.12031777714991
E05009319,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.59499511478309
E05009320,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,4.05876163025304
E05009321,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.07851011360983
E05009322,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.26190836674396
E05009323,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.54315880215323
E05009324,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,4.25152659881987
E05009325,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.03108255025461
E05009326,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,4.36304516617964
E05009327,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.54441657258469
E05009328,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.50590527083551
E05009329,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.24909247378282
E05009330,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.8668321776013
E05009331,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.02934919997844
E05009332,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.98174668651647
E05009333,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,4.46613471880732
E05009334,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.31865250745008
E05009335,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.73082504948857
E05009336,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,4.9250727441733
E05009367,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,4.42994961955146
E05009368,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.86450655501944
E05009369,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,4.00899258511807
E05009370,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.9928433801651
E05009371,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,4.09845508363698
E05009372,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.84221117991429
E05009373,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,4.25478961550108
E05009374,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,4.27353899867165
E05009375,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,4.95888562327467
E05009376,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,5.186590896771
E05009377,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,4.08337210947879
E05009378,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,4.25235494260182
E05009379,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,3.67965534281048
