wd24cd,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,SUBD__Belonging..Connections.and.Leisure__Sense.of.community,SUBD__Belonging..Connections.and.Leisure__Social.relationships,SUBD__Foundations.of.Prosperity__An.inclusive.economy,SUBD__Foundations.of.Prosperity__Secure.Livelihoods,SUBD__Health.and.Healthy.Environments__Healthy..safe.and.clean.neighbourhoods,SUBD__Health.and.Healthy.Environments__Healthy.bodies.and.healthy.minds,SUBD__Opportunities.and.Aspirations__Freedom..choice.and.control,SUBD__Opportunities.and.Aspirations__Good.quality.basic.education,SUBD__Opportunities.and.Aspirations__Lifelong.learning,SUBD__Power..Voice.and.Influence__Political.inclusion,SUBD__Power..Voice.and.Influence__Voice.and.influence
E05009317,4.95615754746049,4.20144636264291,6.72235012013943,5.23316863871153,6.3009327637766,5.63136114720881,6.67486340260387,6.12641022083909,6.08589737170735,3.27962305265483,4.70038861604814,4.262715570892
E05009318,4.12031777714991,3.68586645524504,6.37559810836988,5.65083296640987,7.115744695797,7.29048088077009,6.55343341879033,6.29334769744668,6.47612800783663,4.1996243197209,5.22920926596097,4.32321096274106
E05009319,3.59499511478309,4.1528576460994,6.67547148606989,5.19134889665598,6.28756580168899,6.69161224476683,6.01157431387249,6.01014572456453,5.9160011839852,3.55066604667833,4.99860526206144,4.31751029016568
E05009320,4.05876163025304,4.4658124982461,6.54017609245989,5.00990714448078,6.7704843991537,4.98233939022051,6.49591566558086,6.19768908124395,6.39498166343749,3.37886914714912,4.63446266669389,4.35181148499756
E05009321,3.07851011360983,3.85368373157179,6.58494294165794,4.96321963769594,6.6334093158846,5.70703106833687,6.02141227775999,6.47536691351787,6.70112498466,3.18189767594248,4.59453006957098,4.12674193999085
E05009322,3.26190836674396,4.44353010152888,6.43769577598222,5.26701188778359,6.77067506780991,6.1941024060094,6.33055815210512,5.98535501403499,6.56365652294372,3.23907793966964,4.96183902827295,4.31134464157797
E05009323,3.54315880215323,4.47955768481479,6.36387995426083,5.29753698369278,6.15262844240889,6.37715821509736,6.40496546249453,6.49478275672379,6.92546235969736,3.88897606871599,4.70758485715866,4.36591259996551
E05009324,4.25152659881987,3.87617782653198,6.61324562557627,5.91084710052374,6.91513394879237,6.37094652357284,6.67324959291719,6.30037526778394,7.32144277832179,3.75102653142192,5.30782935917258,4.28429790796136
E05009325,3.03108255025461,4.29168864708701,6.50078093585939,5.29678979328735,5.78963422826657,5.76516676378674,6.07186502738063,6.14110155070875,5.58025227883939,3.39438393764233,5.119661926598,4.11067487170296
E05009326,4.36304516617964,4.24384534432422,6.68700972047728,5.62645598247909,6.81498625160699,6.51018925953061,6.53458341570541,6.40283943990871,6.81824738879284,3.9809063059413,5.1829057770964,4.36420636128211
