wd24cd,SUBD__Belonging..Connections.and.Leisure__Arts..leisure.and.sports,SUBD__Belonging..Connections.and.Leisure__Sense.of.community,SUBD__Belonging..Connections.and.Leisure__Social.relationships,SUBD__Foundations.of.Prosperity__An.inclusive.economy,SUBD__Foundations.of.Prosperity__Secure.Livelihoods,SUBD__Health.and.Healthy.Environments__Healthy..safe.and.clean.neighbourhoods,SUBD__Health.and.Healthy.Environments__Healthy.bodies.and.healthy.minds,SUBD__Opportunities.and.Aspirations__Freedom..choice.and.control,SUBD__Opportunities.and.Aspirations__Good.quality.basic.education,SUBD__Opportunities.and.Aspirations__Lifelong.learning,SUBD__Power..Voice.and.Influence__Political.inclusion,SUBD__Power..Voice.and.Influence__Voice.and.influence,DOM__Belonging..Connections.and.Leisure,DOM__Foundations.of.Prosperity,DOM__Health.and.Healthy.Environments,DOM__Opportunities.and.Aspirations,DOM__Power..Voice.and.Influence,CPI_z,CPI_0_10
E05009317,4.95615754746049,4.20144636264291,6.72235012013943,5.23316863871153,6.3009327637766,5.63136114720881,6.67486340260387,6.12641022083909,6.08589737170735,3.27962305265483,4.70038861604814,4.262715570892,5.293318010080943,5.767050701244065,6.15311227490634,5.163976881733757,4.48155209347007,-0.6190355512047606,3.641591239066074
E05009318,4.12031777714991,3.68586645524504,6.37559810836988,5.65083296640987,7.115744695797,7.29048088077009,6.55343341879033,6.29334769744668,6.47612800783663,4.1996243197209,5.22920926596097,4.32321096274106,4.727260780254944,6.383288831103435,6.92195714978021,5.6563666750014034,4.776210114351015,0.36295807235302696,5.391308872976158
E05009319,3.59499511478309,4.1528576460994,6.67547148606989,5.19134889665598,6.28756580168899,6.69161224476683,6.01157431387249,6.01014572456453,5.9160011839852,3.55066604667833,4.99860526206144,4.31751029016568,4.8077747489841265,5.7394573491724845,6.35159327931966,5.158937651742686,4.65805777611356,-0.7746140749693358,3.3643812043386374
E05009320,4.05876163025304,4.4658124982461,6.54017609245989,5.00990714448078,6.7704843991537,4.98233939022051,6.49591566558086,6.19768908124395,6.39498166343749,3.37886914714912,4.63446266669389,4.35181148499756,5.021583406986343,5.89019577181724,5.739127527900685,5.323846630610187,4.493137075845725,-0.9005056377262892,3.140067438921019
E05009321,3.07851011360983,3.85368373157179,6.58494294165794,4.96321963769594,6.6334093158846,5.70703106833687,6.02141227775999,6.47536691351787,6.70112498466,3.18189767594248,4.59453006957098,4.12674193999085,4.505712262279854,5.79831447679027,5.86422167304843,5.452796524706783,4.360636004780915,-1.3230821043656407,2.387120090163842
E05009322,3.26190836674396,4.44353010152888,6.43769577598222,5.26701188778359,6.77067506780991,6.1941024060094,6.33055815210512,5.98535501403499,6.56365652294372,3.23907793966964,4.96183902827295,4.31134464157797,4.714378081418354,6.01884347779675,6.26233027905726,5.262696492216117,4.63659183492546,-0.6818809203374911,3.529613271039426
E05009323,3.54315880215323,4.47955768481479,6.36387995426083,5.29753698369278,6.15262844240889,6.37715821509736,6.40496546249453,6.49478275672379,6.92546235969736,3.88897606871599,4.70758485715866,4.36591259996551,4.795532147076283,5.725082713050835,6.391061838795945,5.769740395045714,4.536748728562085,-0.41740434398125525,4.00085801062346
E05009324,4.25152659881987,3.87617782653198,6.61324562557627,5.91084710052374,6.91513394879237,6.37094652357284,6.67324959291719,6.30037526778394,7.32144277832179,3.75102653142192,5.30782935917258,4.28429790796136,4.91365001697604,6.4129905246580545,6.522098058245016,5.790948192509217,4.79606363356697,0.40480302701926585,5.4658682726639265
E05009325,3.03108255025461,4.29168864708701,6.50078093585939,5.29678979328735,5.78963422826657,5.76516676378674,6.07186502738063,6.14110155070875,5.58025227883939,3.39438393764233,5.119661926598,4.11067487170296,4.6078507110670035,5.54321201077696,5.918515895583685,5.0385792557301565,4.61516839915048,-1.4517542566845232,2.1578518663134414
E05009326,4.36304516617964,4.24384534432422,6.68700972047728,5.62645598247909,6.81498625160699,6.51018925953061,6.53458341570541,6.40283943990871,6.81824738879284,3.9809063059413,5.1829057770964,4.36420636128211,5.09796674366038,6.220721117043039,6.52238633761801,5.733997711547617,4.773556069189255,0.38297340694767384,5.4269722245995435
E05009327,3.54441657258469,4.06151092742105,6.72141153699019,5.06978153211497,6.1511806329221,5.92529586757107,5.91852347046175,5.82504865198466,6.41647859822136,3.16321088445908,5.21101522383439,4.27517162710643,4.775779678998643,5.610481082518534,5.92190966901641,5.1349127115550335,4.74309342547041,-1.0915401311479385,2.799681907074162
E05009328,3.50590527083551,3.70681777164928,6.40777576516191,5.36291376482761,6.3200744347611,5.6669704667311,6.25168232377433,6.28229266358423,5.76083701158856,3.1506200467347,4.75092743209102,4.09672312614317,4.540166269215566,5.841494099794355,5.959326395252715,5.06458324063583,4.423825279117095,-1.444657677303815,2.1704965615385294
E05009329,3.24909247378282,4.24029317190687,6.76067627021627,5.0698788766658,6.003317713949,6.73248657078089,5.86126492116596,6.66762107794338,5.92987955334031,2.96258708434517,4.50003993659218,4.27663004698706,4.75002063863532,5.5365982953073996,6.296875745973425,5.18669590520962,4.38833499178962,-1.1817470431083472,2.638951103155237
E05009330,3.8668321776013,4.14374846136541,6.83856760087765,5.51150428450369,6.39737541310745,6.08849369061931,6.07993631365874,6.14217762290706,7.06757939342499,3.92745164564415,5.35146946785598,4.23122956784873,4.94971607994812,5.9544398488055705,6.084215002139025,5.7124028873254,4.791349517852355,-0.1723990860013716,4.437408727454938
