"wd24cd","mean","sd","q2.5","q50","q97.5","N","has_microdata"
"E05009317",5.14486422283566,0.231626672984828,4.69032748593962,5.13912828269484,5.62052051560756,18085.25,TRUE
"E05009318",5.18964829800642,0.235876178442344,4.75094382975098,5.16934884160968,5.69505911975289,18990.75,TRUE
"E05009319",5.13037615521209,0.22790442564936,4.68921291330793,5.12204819747726,5.60686374935111,17107.5,TRUE
"E05009320",5.1241252786291,0.255706771432083,4.61403546099813,5.12262248872841,5.64472332324639,11917,TRUE
"E05009321",4.93910690844414,0.209408967401928,4.50547990054675,4.95460058513544,5.32312216222604,9842.75,TRUE
"E05009322",5.23646848730682,0.247499483618957,4.7984182487833,5.21524265520578,5.78300952925782,11680.75,TRUE
"E05009323",5.15089436999544,0.235979455177477,4.68470777924166,5.14633677867406,5.63234476180658,15926.5,TRUE
"E05009324",5.1372293054773,0.253205930867126,4.6234052669416,5.12871309031703,5.64009072893749,13201.25,TRUE
"E05009325",4.95895290173047,0.215812660243098,4.50232321107788,4.97622659446691,5.35580930128908,17953.5,TRUE
"E05009326",5.20241170471416,0.261473009954101,4.71403375503886,5.18606104449395,5.77436096098821,5958.25,TRUE
"E05009327",5.21861464079026,0.194959797520592,4.86177067712269,5.20476190295975,5.63246370757236,18211.75,TRUE
"E05009328",4.97805161225449,0.245645588206707,4.46530793733713,4.99895951970479,5.43365587945852,6576.5,TRUE
"E05009329",5.03353469210379,0.204948020792338,4.61818383163494,5.04141820628752,5.43890745854177,12313.5,TRUE
"E05009330",5.15109428658408,0.242991253475911,4.65822102501179,5.15135741387324,5.64886956464218,10845.25,TRUE
"E05009331",4.98506662014059,0.224470249227755,4.51039819258993,4.99914489565784,5.41397141499782,17234.75,TRUE
"E05009332",4.89393679579173,0.248694959146564,4.36770309929178,4.91867771472686,5.31842188166434,11022.25,TRUE
"E05009333",5.06918730095929,0.242279478606698,4.5737089576826,5.07022632546915,5.56688283723652,11833,TRUE
"E05009334",5.1662812393898,0.230323087624003,4.72784333664882,5.15141041228628,5.6438299378007,10383.75,TRUE
"E05009335",5.05464071209645,0.241159770767637,4.57849429097004,5.05691926166634,5.5261916750247,11675,TRUE
